age,income,credit_score,debt_ratio,years_employed,num_accounts,approved
18,83701,618,1.5961148299038532,0.3606089318932164,1.2737286719248437,1
46,32558,684,-1.6527794502801996,0.4120086350319735,-0.06178789308639787,0
27,71320,697,1.2236425197411513,-0.08021655885008938,-0.407751118644463,0
28,99976,581,1.8115205506872707,-1.3551267250915517,0.33326818928361457,1
18,101071,783,2.5923248425113385,-0.47387167463736546,0.6114614913288979,1
51,76374,512,-0.7770095770570123,-2.2592982888093487,-0.8255754587236062,0
39,59582,749,0.02237914824643239,-0.33027078301101837,-0.4066781047730602,0
50,100055,679,-1.7322555698038706,-3.9818242126093377,-1.22144552417936,0
54,75558,638,-0.023447538473112095,-1.9941780864618153,-0.5299606858822887,0
31,20000,625,3.05602841276363,3.36614701376208,-1.4862745252403056,0
62,88728,675,0.7155293492891761,-2.723150084216919,-0.011503915204301385,0
22,39053,719,1.100627770281284,1.3936874119624687,-2.503838206152753,0
52,57457,781,-1.1937252897091097,-1.1317087055804465,-0.0430630938403338,1
35,20000,523,0.5618478523154462,2.506338298841527,-0.36772588160455244,0
47,42302,455,-1.8829422764169572,-0.6658082143055303,-1.5414984846329953,0
40,54336,648,-0.6932852692228598,-0.5869865761961933,-1.29836242133995,0
55,50973,588,0.10204196671002363,-1.5216927691488773,-3.901894569206633,1
56,29402,689,-1.4424762081362836,-0.33626818463453256,-1.9741902577660806,1
18,84272,725,1.3616629402380842,0.17293785270866158,1.3509391768503292,1
19,51811,554,-0.4130456061717406,0.4806117302858893,-1.8499220236743787,0
44,37111,676,-0.9642185033293652,0.5378883425504593,0.18940700639663577,1
20,46087,617,2.658243402440694,2.3390825664787824,0.06299486182780623,1
45,68798,601,-1.593070409220414,-2.009237319689135,-1.5294515219115987,0
33,34540,693,-2.4625926161301006,0.6935455909931483,0.21866312492848405,0
42,53710,631,-3.8941264831168407,-1.630538670929617,-0.9266172871920106,0
21,56573,557,-1.3500395292026963,-0.0925154515772314,-1.4639573346605812,0
49,46678,696,-1.3042783752834919,-0.2984868483093475,0.43763299341601325,1
52,62627,680,-0.7799438661897264,-1.4130766345946206,-0.4354015189990119,1
30,68323,778,-1.4950534274219902,-0.11013938878787222,2.608474241684231,1
18,80958,705,2.3287128595780215,0.4801740104793013,0.6196981048500059,1
47,54035,566,-0.8154055648089351,-0.3598817415466915,0.7717175877625426,1
37,47673,572,-0.24916771954846828,-0.12363733036603919,-1.9811395094650996,0
43,63659,736,1.3088388134751716,-0.26382383970892614,-0.11270034563972642,1
55,20000,696,-3.454571874944777,1.1002323256586104,0.39700257766178293,1
48,92600,820,0.17081582356386704,-2.5901254213220053,-0.417285395975976,0
49,28959,510,-2.0404952601821176,0.4022464807431433,0.08065868517578201,1
34,63666,813,-0.38586557299836866,-0.6958878727248767,-1.1658883358183019,0
23,93388,534,2.3975099557263553,-0.5661792103142086,0.17743223823279364,1
52,56268,756,-0.8063949240265338,-1.1089903557233334,-0.6159736110541313,1
29,109777,517,0.10999587801993427,-2.126720139684596,1.7457027883492113,1
38,24735,627,0.23545786212468012,1.54296391993515,-1.1671958306974384,0
48,44341,593,0.05059727657543389,-0.5178878928513958,-2.6457099366638586,1
40,38894,706,-0.5699646749577889,0.34023811998727294,-1.309828931726544,0
