id,income,gender,debt_ratio,all_null_col,approved
cust_0,,,0.0,,1.0
cust_1,50000.0,M,0.1,,0.0
cust_2,50000.0,M,0.2,,1.0
cust_3,50000.0,,0.30000000000000004,,0.0
cust_4,50000.0,M,0.4,,1.0
cust_5,50000.0,M,0.5,,0.0
cust_6,50000.0,,0.6000000000000001,,1.0
cust_7,50000.0,M,0.7000000000000001,,0.0
cust_8,50000.0,M,0.8,,1.0
cust_9,50000.0,,0.9,,0.0
cust_10,,M,1.0,,1.0
cust_11,50000.0,M,1.1,,0.0
cust_12,50000.0,,1.2000000000000002,,1.0
cust_13,50000.0,M,1.3,,0.0
cust_14,50000.0,M,1.4000000000000001,,1.0
cust_15,50000.0,,1.5,,0.0
cust_16,50000.0,M,1.6,,1.0
cust_17,50000.0,M,1.7000000000000002,,0.0
cust_18,50000.0,,1.8,,1.0
cust_19,50000.0,M,1.9000000000000001,,0.0
cust_20,,M,2.0,,1.0
cust_21,50000.0,,2.1,,0.0
cust_22,50000.0,M,2.2,,1.0
cust_23,50000.0,M,2.3000000000000003,,0.0
cust_24,50000.0,,2.4000000000000004,,1.0
cust_25,50000.0,M,2.5,,0.0
cust_26,50000.0,M,2.6,,1.0
cust_27,50000.0,,2.7,,0.0
cust_28,50000.0,M,2.8000000000000003,,1.0
cust_29,50000.0,M,2.9000000000000004,,0.0
cust_30,,,3.0,,1.0
cust_31,50000.0,M,3.1,,0.0
cust_32,50000.0,M,3.2,,1.0
cust_33,50000.0,,3.3000000000000003,,0.0
cust_34,50000.0,M,3.4000000000000004,,1.0
cust_35,50000.0,M,3.5,,0.0
cust_36,50000.0,,3.6,,1.0
cust_37,50000.0,M,3.7,,0.0
cust_38,50000.0,M,3.8000000000000003,,1.0
cust_39,50000.0,,3.9000000000000004,,0.0
cust_40,,M,4.0,,1.0
cust_41,50000.0,M,4.1000000000000005,,0.0
cust_42,50000.0,,4.2,,1.0
cust_43,50000.0,M,4.3,,0.0
cust_44,50000.0,M,4.4,,1.0
cust_45,50000.0,,4.5,,0.0
cust_46,50000.0,M,4.6000000000000005,,1.0
cust_47,50000.0,M,4.7,,0.0
cust_48,50000.0,,4.800000000000001,,1.0
cust_49,50000.0,M,4.9,,0.0
cust_50,,M,5.0,,1.0
cust_51,50000.0,,5.1000000000000005,,0.0
cust_52,50000.0,M,5.2,,1.0
cust_53,50000.0,M,5.300000000000001,,0.0
cust_54,50000.0,,5.4,,1.0
cust_55,50000.0,M,5.5,,0.0
cust_56,50000.0,M,5.6000000000000005,,1.0
cust_57,50000.0,,5.7,,0.0
cust_58,50000.0,M,5.800000000000001,,1.0
cust_59,50000.0,M,5.9,,0.0
cust_60,,,6.0,,1.0
cust_61,50000.0,M,6.1000000000000005,,0.0
cust_62,50000.0,M,6.2,,1.0
cust_63,50000.0,,6.300000000000001,,0.0
cust_64,50000.0,M,6.4,,1.0
cust_65,50000.0,M,6.5,,0.0
